symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
VOXEL,BUY,LIMIT,IOC,156,0.1160070,0.1135435,FILLED,56,156,1746022871234,18.097092
DEEP,BUY,LIMIT,IOC,29,0.1840330,0.1814400,FILLED,29,29,1746022875278,5.336957
FARTCOIN,BUY,LIMIT,IOC,307.9,1.1196860,1.1081000,FILLED,307.9,307.9,1746022879611,344.75131939999994
ARC,BUY,LIMIT,IOC,12805,0.0572757,0.0562296,FILLED,794,12805,1746022883215,733.4153385
PUNDIX,BUY,LIMIT,IOC,2722,0.5161227,0.5122481,FILLED,318,2722,1746022884121,1404.8859894000002
VTHO,BUY,LIMIT,IOC,11928,0.0025531,0.0025290,FILLED,11928,11928,1746022886600,30.4533768
TON,BUY,LIMIT,IOC,1.9,3.1851582,3.1537000,FILLED,1.9,1.9,1746022889470,6.05180058
VIRTUAL,BUY,LIMIT,IOC,115.7,1.2738485,1.2629000,FILLED,111.6,115.7,1746022893055,147.38427145
PENGU,BUY,LIMIT,IOC,19378,0.0105925,0.0104840,FILLED,10992,19378,1746022893091,205.261465
1000SHIB,BUY,LIMIT,IOC,1086,0.013092,0.013004,FILLED,1086,1086,1746022894300,14.217912
PENGU,BUY,LIMIT,IOC,10078,0.0105938,0.0104840,FILLED,10078,10078,1746022894496,106.7643164
OM,BUY,LIMIT,IOC,1603.0,0.4830788,0.4784614,FILLED,253.4,1603.0,1746022898054,774.3753164
AIOT,BUY,LIMIT,IOC,707,0.2887836,0.2858911,FILLED,41,707,1746022898213,204.1700052
AIOT,BUY,LIMIT,IOC,662,0.2888906,0.2870000,FILLED,55,662,1746022901586,191.24557719999999
BTC,BUY,LIMIT,IOC,0.027,93842.94,93561.70,FILLED,0.027,0.027,1746022901587,2533.75938
ETH,BUY,LIMIT,IOC,0.021,1760.43,1753.41,FILLED,0.021,0.021,1746022902185,36.969030000000004
SIGN,BUY,LIMIT,IOC,885,0.0941099,0.0932000,FILLED,545,885,1746022902217,83.2872615
DEEP,BUY,LIMIT,IOC,193,0.1843274,0.1813200,FILLED,193,193,1746022902288,35.5751882
BTC,BUY,LIMIT,IOC,0.006,93886.24,93511.80,FILLED,0.006,0.006,1746022902710,563.31744
AIOT,BUY,LIMIT,IOC,1789,0.2901655,0.2861563,FILLED,223,1789,1746022909322,519.1060795000001
NIL,BUY,LIMIT,IOC,740.5,0.389027,0.384758,FILLED,88.7,740.5,1746022912509,288.0744935
AIOT,BUY,LIMIT,IOC,432,0.2909066,0.2879900,FILLED,153,432,1746022913190,125.67165120000001
1000BONK,BUY,LIMIT,IOC,17660,0.0187000,0.0185119,FILLED,9790,17660,1746022913513,330.242
