symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
SUI,BUY,LIMIT,IOC,9.5,3.363153,3.330300,FILLED,9.5,9.5,1745513724278,31.9499535
TRUMP,BUY,LIMIT,IOC,15.03,12.535947,12.410000,FILLED,15.03,15.03,1745513725225,188.41528341
TRUMPUSDC,BUY,LIMIT,IOC,38.75,12.543335,12.432000,FILLED,18.78,38.75,1745513726317,486.05423125000004
TRUMP,BUY,LIMIT,IOC,8.49,12.537065,12.431398,FILLED,3.38,8.49,1745513728083,106.43968185
SUI,BUY,LIMIT,IOC,375.7,3.364921,3.332600,FILLED,375.7,375.7,1745513729371,1264.2008197
DOGE,BUY,LIMIT,IOC,29,0.182834,0.181920,FILLED,29,29,1745513730101,5.302186
SUI,BUY,LIMIT,IOC,218.2,3.365847,3.332300,FILLED,218.2,218.2,1745513730405,734.4278154
TRUMP,BUY,LIMIT,IOC,108.39,12.555470,12.446000,FILLED,52.29,108.39,1745513731611,1360.8873933
ONDO,SELL,LIMIT,IOC,18.5,0.9892167,0.9989000,FILLED,18.5,18.5,1745513733525,18.300508949999998
TRUMP,BUY,LIMIT,IOC,88.12,12.593138,12.477000,FILLED,88.12,88.12,1745513740047,1109.70732056
WCT,BUY,LIMIT,IOC,97,0.3964239,0.3926000,FILLED,53,97,1745513740385,38.4531183
TRUMP,BUY,LIMIT,IOC,1.24,12.599270,12.497000,FILLED,1.24,1.24,1745513741450,15.6230948
TRUMPUSDC,BUY,LIMIT,IOC,5.08,12.605204,12.492000,FILLED,5.08,5.08,1745513742375,64.03443632
TRUMP,BUY,LIMIT,IOC,1.22,12.615721,12.485000,FILLED,1.22,1.22,1745513743194,15.39117962
TRUMPUSDC,BUY,LIMIT,IOC,119.59,12.617000,12.498385,FILLED,15.77,119.59,1745513744353,1508.86703
IO,BUY,LIMIT,IOC,827.2,0.7985149,0.7902000,FILLED,827.2,827.2,1745513744572,660.5315252800001
INIT,BUY,LIMIT,IOC,599,0.6757897,0.6704000,FILLED,241,599,1745513749400,404.79803030000005
TRUMP,BUY,LIMIT,IOC,1.72,12.631452,12.537000,FILLED,1.72,1.72,1745513750109,21.72609744
TRUMPUSDC,BUY,LIMIT,IOC,2.08,12.637012,12.537000,FILLED,2.08,2.08,1745513751422,26.284984960000003
WCT,BUY,LIMIT,IOC,705,0.3971786,0.3934000,FILLED,376,705,1745513751508,280.010913
TRUMP,BUY,LIMIT,IOC,24.69,12.646469,12.513000,FILLED,24.69,24.69,1745513752573,312.24131961
CHILLGUY,SELL,LIMIT,IOC,656,0.0292282,0.0292500,FILLED,656,656,1745513756070,19.173699199999998
ONDO,SELL,LIMIT,IOC,244.7,0.9885774,0.9975000,FILLED,88.9,244.7,1745513758058,241.90488978
ONDO,SELL,LIMIT,IOC,639.8,0.9879050,0.9970000,FILLED,219.2,639.8,1745513759164,632.061619
CHILLGUY,SELL,LIMIT,IOC,207,0.0290352,0.0294300,FILLED,207,207,1745513761576,6.0102864
HYPER,SELL,LIMIT,IOC,668,0.2097242,0.2116000,FILLED,639,668,1745513764365,140.0957656
HIFI,SELL,LIMIT,IOC,121279,0.1776455,0.1809951,FILLED,11939,121279,1745513770175,21544.668594500003
PEOPLE,SELL,LIMIT,IOC,1653787,0.01479,0.01494,FILLED,37760,1653787,1745513770175,24459.509729999998
MAGIC,BUY,LIMIT,IOC,5017.7,0.204219,0.202300,FILLED,1677.4,5017.7,1745513770246,1024.7096763
ALGO,SELL,LIMIT,IOC,106.3,0.2208,0.2229,FILLED,106.3,106.3,1745513771413,23.47104
HIFI,SELL,LIMIT,IOC,819,0.1790060,0.1811000,FILLED,819,819,1745513772384,146.605914
ONDO,SELL,LIMIT,IOC,963.2,0.9866016,0.9964000,FILLED,948.5,963.2,1745513773437,950.29466112
ADA,SELL,LIMIT,IOC,2705,0.72853,0.73210,FILLED,719,2705,1745513780557,1970.67365
MOVE,SELL,LIMIT,IOC,83,0.2358147,0.2380000,FILLED,13,83,1745513786041,19.572620099999998
CETUS,SELL,LIMIT,IOC,114,0.1708562,0.1718300,FILLED,114,114,1745513788211,19.4776068
HIFI,SELL,LIMIT,IOC,3413,0.1784960,0.1810111,FILLED,1248,3413,1745513788421,609.2068479999999
ONDO,SELL,LIMIT,IOC,505.2,0.9857363,0.9956000,FILLED,505.2,505.2,1745513790112,497.99397876
CETUS,SELL,LIMIT,IOC,2059,0.1703536,0.1719199,FILLED,1,2059,1745513790525,350.7580624
SWARMS,SELL,LIMIT,IOC,611,0.0313729,0.0315700,FILLED,294,611,1745513791401,19.1688419
INIT,SELL,LIMIT,IOC,281,0.6578466,0.6618131,FILLED,244,281,1745513796275,184.8548946
DEEP,BUY,LIMIT,IOC,138,0.1798950,0.1768600,FILLED,138,138,1745513796466,24.82551
MAGIC,BUY,LIMIT,IOC,15252.8,0.204476,0.202643,FILLED,703.5,15252.8,1745513797380,3118.8315328
TAO,SELL,LIMIT,IOC,2.687,356.78,359.84,FILLED,0.790,2.687,1745513798424,958.6678599999999
MAGIC,BUY,LIMIT,IOC,3394.3,0.204616,0.202700,FILLED,1934.0,3394.3,1745513799263,694.5280888
MAGIC,BUY,LIMIT,IOC,667.3,0.204674,0.202700,FILLED,667.3,667.3,1745513800383,136.57896019999998
INIT,SELL,LIMIT,IOC,35,0.6654271,0.6700000,FILLED,35,35,1745514179350,23.2899485
SWARMS,SELL,LIMIT,IOC,35000,0.0304718,0.0307427,FILLED,5631,35000,1745514180456,1066.513
INIT,SELL,LIMIT,IOC,24,0.6650282,0.6685000,FILLED,24,24,1745514181305,15.960676799999998
TURBO,SELL,LIMIT,IOC,16475,0.0047712,0.0048307,FILLED,16475,16475,1745514183188,78.60552
INIT,SELL,LIMIT,IOC,701,0.6639008,0.6669606,FILLED,122,701,1745514183304,465.3944608
SWARMS,SELL,LIMIT,IOC,116894,0.0304174,0.0306470,FILLED,7426,116894,1745514184150,3555.6115556
ZEREBRO,SELL,LIMIT,IOC,8268,0.0751460,0.0751460,FILLED,8268,8268,1745514184194,621.307128
INIT,SELL,LIMIT,IOC,3620,0.6623983,0.6650121,FILLED,3180,3620,1745514184370,2397.8818459999998
B3,SELL,LIMIT,IOC,175633,0.0052080,0.0052532,FILLED,16005,175633,1745514185169,914.6966639999999
AERGO,SELL,LIMIT,IOC,4782,0.2138060,0.2168822,FILLED,591,4782,1745514185169,1022.420292
JELLYJELLY,SELL,LIMIT,IOC,334,0.0231223,0.0236500,FILLED,334,334,1745514185169,7.7228482
MELANIA,SELL,LIMIT,IOC,19.47,0.452239,0.460300,FILLED,19.47,19.47,1745514185169,8.80509333
ZEREBRO,SELL,LIMIT,IOC,69964,0.0744323,0.0750522,FILLED,6517,69964,1745514185248,5207.5814372
EPIC,SELL,LIMIT,IOC,1569.0,1.326498,1.336083,FILLED,95.3,1569.0,1745514185248,2081.275362
INIT,SELL,LIMIT,IOC,1670,0.6611521,0.6651000,FILLED,88,1670,1745514185399,1104.1240070000001
HIFI,SELL,LIMIT,IOC,6302,0.1696244,0.1716000,FILLED,6302,6302,1745514186362,1068.9729688
INIT,SELL,LIMIT,IOC,6925,0.6594245,0.6638266,FILLED,1534,6925,1745514187079,4566.5146625
WCT,SELL,LIMIT,IOC,8,0.3884737,0.3923000,FILLED,8,8,1745514189276,3.1077896
HYPER,SELL,LIMIT,IOC,5,0.2088769,0.2103000,FILLED,5,5,1745514189276,1.0443845
INIT,SELL,LIMIT,IOC,12,0.6588443,0.6618000,FILLED,12,12,1745514189276,7.9061316
INIT,SELL,LIMIT,IOC,295,0.6582504,0.6605000,FILLED,295,295,1745514190321,194.18386800000002
INIT,SELL,LIMIT,IOC,170,0.6570790,0.6603894,FILLED,18,170,1745514191578,111.70343
ALPACA,BUY,LIMIT,IOC,104,0.0595342,0.0593100,FILLED,104,104,1745514191578,6.1915568
DOT,BUY,LIMIT,IOC,271.9,4.244,4.218,FILLED,271.9,271.9,1745514197228,1153.9435999999998
ZEREBRO,SELL,LIMIT,IOC,12568,0.0740664,0.0740664,FILLED,12568,12568,1745514204144,930.8665152000001
BROCCOLIF3B,BUY,LIMIT,IOC,2701,0.0454801,0.0445875,FILLED,2003,2701,1745514204144,122.84175010000001
B3,SELL,LIMIT,IOC,3940,0.0052124,0.0052614,FILLED,138,3940,1745514204575,20.536856
