timestamp,open,high,low,close,volume
2025-05-13 15:15:00,8.0909,8.0937,8.0599,8.0902,59.05
2025-05-13 15:30:00,8.0743,8.1271,8.046,8.1186,34.11
2025-05-13 15:45:00,8.1231,8.1916,8.1231,8.1916,54.05
2025-05-13 16:00:00,8.1879,8.3004,8.1874,8.3004,1247.92
2025-05-13 16:15:00,8.2765,8.3034,8.2548,8.2933,98.29
2025-05-13 16:30:00,8.2742,8.3141,8.2681,8.2809,1430.01
2025-05-13 16:45:00,8.2905,8.3121,8.2307,8.2438,2203.91
2025-05-13 17:00:00,8.2509,8.3199,8.2509,8.3068,310.54
2025-05-13 17:15:00,8.3133,8.3865,8.3116,8.3402,172.82
2025-05-13 17:30:00,8.3402,8.3765,8.284,8.3717,171.32
2025-05-13 17:45:00,8.3684,8.4178,8.3228,8.347,224.74
2025-05-13 18:00:00,8.3612,8.3915,8.3521,8.3835,106.73
2025-05-13 18:15:00,8.3784,8.4165,8.369,8.4011,1097.51
2025-05-13 18:30:00,8.4091,8.4499,8.3651,8.3695,270.39
2025-05-13 18:45:00,8.3679,8.4331,8.3671,8.432,1633.21
2025-05-13 19:00:00,8.432,8.4838,8.3831,8.4838,915.04
2025-05-13 19:15:00,8.4804,8.5976,8.4804,8.5807,3160.78
2025-05-13 19:30:00,8.5707,8.6105,8.5556,8.6092,154.95
2025-05-13 19:45:00,8.6015,8.6261,8.4923,8.5639,10898.9
2025-05-13 20:00:00,8.5671,8.5753,8.4663,8.5439,940.89
2025-05-13 20:15:00,8.5524,8.6101,8.5518,8.6091,43.51
2025-05-13 20:30:00,8.5733,8.5973,8.5447,8.5524,770.99
2025-05-13 20:45:00,8.5511,8.5805,8.5476,8.5578,86.89
2025-05-13 21:00:00,8.5745,8.5745,8.5009,8.5009,835.82
2025-05-13 21:15:00,8.5008,8.5669,8.5008,8.5625,69.96
2025-05-13 21:30:00,8.5606,8.6149,8.5606,8.6074,6532.89
2025-05-13 21:45:00,8.6074,8.6463,8.5987,8.6463,1071.8
2025-05-13 22:00:00,8.6574,8.694,8.5524,8.6184,7201.15
2025-05-13 22:15:00,8.6168,8.65,8.6023,8.6322,1205.21
2025-05-13 22:30:00,8.6271,8.6587,8.6132,8.6145,57.51
2025-05-13 22:45:00,8.6236,8.6761,8.5912,8.6053,1944.17
2025-05-13 23:00:00,8.6087,8.6087,8.533,8.6036,615.35
2025-05-13 23:15:00,8.6093,8.6346,8.5946,8.5947,68.93
2025-05-13 23:30:00,8.5912,8.6841,8.5912,8.6744,345.03
2025-05-13 23:45:00,8.6809,8.6996,8.6351,8.6351,502.04
2025-05-14 00:00:00,8.6406,8.703,8.6288,8.6777,4766.16
2025-05-14 00:15:00,8.6935,8.7232,8.6368,8.7057,128.69
2025-05-14 00:30:00,8.6825,8.7877,8.658,8.7639,1207.58
2025-05-14 00:45:00,8.7365,8.7712,8.7072,8.7502,1329.86
2025-05-14 01:00:00,8.7352,8.8226,8.7352,8.8175,1940.41
2025-05-14 01:15:00,8.823,8.901,8.8096,8.8565,1855.15
2025-05-14 01:30:00,8.9027,8.94,8.8515,8.94,9841.68
2025-05-14 01:45:00,8.94,8.9483,8.7792,8.8571,14040.73
2025-05-14 02:00:00,8.8589,8.8809,8.6414,8.7101,16703.68
2025-05-14 02:15:00,8.7127,8.7552,8.6909,8.6909,3195.77
2025-05-14 02:30:00,8.7088,8.822,8.7088,8.822,970.75
2025-05-14 02:45:00,8.8195,8.8304,8.7284,8.7677,395.06
2025-05-14 03:00:00,8.7637,8.774,8.6648,8.7247,689.46
2025-05-14 03:15:00,8.736,8.7393,8.6382,8.6382,903.86
2025-05-14 03:30:00,8.6618,8.7046,8.6579,8.7046,828.24
2025-05-14 03:45:00,8.7067,8.7317,8.6834,8.6834,150.22
2025-05-14 04:00:00,8.694,8.694,8.635,8.6401,1994.77
2025-05-14 04:15:00,8.6688,8.6973,8.635,8.6962,3204.33
